id,title,genre,releaseYear
1,Inception,Sci-Fi,2010
2,Parasite,Drama,2019
3,Interstellar,Sci-Fi,2014
4,TheMatrix,Action,1999
5,Avengers,Action,2012
6,Joker,Drama,2019
7,ToyStory,Animation,1995
8,Avatar,Sci-Fi,2009
9,MadMax,Action,2015
10,AboutTime,Romance,2013
11,LaLaLand,Romance,2016
12,GetOut,Thriller,2017
